indicator_id,name,family_role_primary,family_role_secondary,universe_tier,digitization_level,inputs,required_fields,default_params,default_timeframes,output_type_primary,formula_pseudocode,ml_role_primary,ml_role_secondary,feature_outputs_default,notes_phase3
sma_20,Simple Moving Average (20),Trend & Price Location,,0,formula,price,close,"{""window"": 20, ""price_field"": ""close""}","[""1h"",""1d""]",scalar,sma_20_t = mean(close_{t-19}...close_t),feature,context,"{""value"": true, ""state"": false, ""events"": false}",Baseline MA for short/medium trend context.
sma_50,Simple Moving Average (50),Trend & Price Location,,0,formula,price,close,"{""window"": 50, ""price_field"": ""close""}","[""1h"",""1d"",""1w""]",scalar,sma_50_t = mean(close_{t-49}...close_t),feature,context,"{""value"": true, ""state"": false, ""events"": false}",Longer trend context and support/resistance reference.
ema_12,Exponential Moving Average (12),Trend & Price Location,,0,formula,price,close,"{""window"": 12, ""price_field"": ""close""}","[""5m"",""15m"",""1h""]",scalar,"ema_12_t = EMA(close, window=12)",feature,context,"{""value"": true, ""state"": false, ""events"": false}",Short-term trend reference used in MACD and fast trend filters.
ema_26,Exponential Moving Average (26),Trend & Price Location,,0,formula,price,close,"{""window"": 26, ""price_field"": ""close""}","[""15m"",""1h"",""1d""]",scalar,"ema_26_t = EMA(close, window=26)",feature,context,"{""value"": true, ""state"": false, ""events"": false}",Medium-term trend reference used in MACD and swing context.
ema_50,Exponential Moving Average (50),Trend & Price Location,,0,formula,price,close,"{""window"": 50, ""price_field"": ""close""}","[""1h"",""1d"",""1w""]",scalar,"ema_50_t = EMA(close, window=50)",feature,context,"{""value"": true, ""state"": false, ""events"": false}",Core medium-horizon trend benchmark.
macd_12_26_9,"MACD (12,26,9)",Trend & Price Location,Momentum & Strength,0,formula,price,close,"{""fast_window"": 12, ""slow_window"": 26, ""signal_window"": 9}","[""15m"",""1h"",""1d""]",scalar,"ema_fast = EMA(close, 12); ema_slow = EMA(close, 26); macd = ema_fast - ema_slow; macd_signal = EMA(macd, 9); macd_hist = macd - macd_signal",feature,context,"{""value"": true, ""state"": false, ""events"": false}","Standard trend/momentum blend; may be output as multiple columns (line, signal, hist) in Phase 5."
price_location_20,Price Location vs 20-bar Range,Trend & Price Location,,0,formula,price,"high,low,close","{""window"": 20}","[""15m"",""1h"",""1d""]",oscillator,"hi = max(high_{t-19}...high_t); lo = min(low_{t-19}...low_t); price_location_20_t = (close_t - lo) / max(hi - lo, epsilon)",feature,context,"{""value"": true, ""state"": true, ""events"": false}",Normalized location in recent range; state thresholds (bottom/mid/top) can be derived in Phase 5.
rsi_14,Relative Strength Index (14),Momentum & Strength,Trend & Price Location,0,formula,price,close,"{""window"": 14}","[""15m"",""1h"",""1d""]",oscillator,"delta = close_t - close_{t-1}; gain = max(delta,0); loss = max(-delta,0); avg_gain = EMA(gain,14); avg_loss = EMA(loss,14); rs = avg_gain / max(avg_loss, epsilon); rsi = 100 - 100/(1+rs)",feature,filter,"{""value"": true, ""state"": true, ""events"": true}",Core bounded momentum oscillator; states (oversold/overbought) and cross events will be derived as separate features.
roc_10,Rate of Change (10),Momentum & Strength,,0,formula,price,close,"{""window"": 10}","[""5m"",""15m"",""1h"",""1d""]",scalar,"roc_10_t = (close_t - close_{t-10}) / max(|close_{t-10}|, epsilon)",feature,,"{""value"": true, ""state"": false, ""events"": false}",Basic normalized momentum magnitude.
mom_10,Momentum (10),Momentum & Strength,,0,formula,price,close,"{""window"": 10}","[""5m"",""15m"",""1h"",""1d""]",scalar,mom_10_t = close_t - close_{t-10},feature,,"{""value"": true, ""state"": false, ""events"": false}",Simple difference-based momentum.
stoch_k_14_3,"Stochastics %K (14,3)",Momentum & Strength,,0,formula,price,"high,low,close","{""lookback"": 14, ""smooth_k"": 3}","[""15m"",""1h"",""1d""]",oscillator,"lowest_low = min(low_{t-13}...low_t); highest_high = max(high_{t-13}...high_t); raw_k = (close_t - lowest_low) / max(highest_high - lowest_low, epsilon); stoch_k_14_3_t = SMA(raw_k,3)",feature,filter,"{""value"": true, ""state"": true, ""events"": true}",Bounded oscillator used for overbought/oversold style logic.
stoch_d_14_3_3,"Stochastics %D (14,3,3)",Momentum & Strength,,0,formula,price,"high,low,close","{""lookback"": 14, ""smooth_k"": 3, ""smooth_d"": 3}","[""15m"",""1h"",""1d""]",oscillator,"Compute stoch_k_14_3, then stoch_d_14_3_3_t = SMA(stoch_k_14_3,3)",feature,filter,"{""value"": true, ""state"": true, ""events"": true}",Signal line for stochastic oscillator; crosses generate events.
true_range,True Range,Volatility & Range,,0,formula,price,"high,low,close,prev_close",{},"[""5m"",""15m"",""1h"",""1d""]",scalar,"tr_t = max(high_t - low_t, abs(high_t - close_{t-1}), abs(low_t - close_{t-1}))",feature,context,"{""value"": true, ""state"": false, ""events"": false}",Single-bar volatility building block for ATR and other vol measures.
atr_14,Average True Range (14),Volatility & Range,,0,formula,price,"high,low,close,prev_close","{""window"": 14}","[""15m"",""1h"",""1d""]",scalar,"Compute true_range; atr_14_t = SMA(true_range,14) or Wilder smoothing equivalent.",feature,risk,"{""value"": true, ""state"": true, ""events"": false}",Core volatility metric for position sizing and stop distances; states (low/med/high vol) can be derived.
realized_vol_20,Realized Volatility (20),Volatility & Range,,0,formula,price,close,"{""window"": 20}","[""1h"",""1d""]",scalar,r_t = log(close_t / close_{t-1}); realized_vol_20_t = stdev(r_{t-19}...r_t) * sqrt(scale_factor),feature,risk,"{""value"": true, ""state"": true, ""events"": false}",Standard deviation of returns over a window; scale_factor maps bar frequency to daily/annualized if needed.
volume,Volume,Volume / Flow / Liquidity,,0,formula,volume,volume,{},"[""all""]",scalar,volume_t = raw traded volume for bar t,feature,context,"{""value"": true, ""state"": false, ""events"": false}",Baseline participation metric.
vol_sma_20,Volume SMA (20),Volume / Flow / Liquidity,,0,formula,volume,volume,"{""window"": 20}","[""15m"",""1h"",""1d""]",scalar,vol_sma_20_t = mean(volume_{t-19}...volume_t),feature,context,"{""value"": true, ""state"": true, ""events"": false}",Baseline volume trend; states (low/normal/high volume) can be derived.
obv,On-Balance Volume,Volume / Flow / Liquidity,Momentum & Strength,0,formula,"price,volume","close,volume",{},"[""15m"",""1h"",""1d""]",scalar,if close_t > close_{t-1}: obv_t = obv_{t-1} + volume_t; elif close_t < close_{t-1}: obv_t = obv_{t-1} - volume_t; else: obv_t = obv_{t-1},feature,context,"{""value"": true, ""state"": false, ""events"": false}",Simple volume-flow proxy; often used with trend analysis.
vwap_intraday,VWAP (Intraday),Volume / Flow / Liquidity,Trend & Price Location,0,formula,"price,volume","price,volume,timestamp,session_id","{""reset"": ""session"", ""price_field"": ""typical_price""}","[""tick"",""1m"",""5m""]",scalar,vwap_t = sum(price_i * volume_i) / sum(volume_i) over current session up to time t,feature,context,"{""value"": true, ""state"": true, ""events"": false}",Core execution benchmark; deviations relative to VWAP are important for intraday strategies.
swing_high_5,Swing High (5),Market Structure & Geometry,,0,formula,price,high,"{""lookback"": 2, ""lookforward"": 2}","[""5m"",""15m"",""1h"",""1d""]",flag,swing_high_5_t = 1 if high_t is strictly greater than highs in {t-2..t+2} else 0 (with lookahead in offline calc or delayed confirmation online),context,feature,"{""value"": false, ""state"": false, ""events"": true}",Basic structural pivot; usually treated as event/marker rather than continuous feature.
swing_low_5,Swing Low (5),Market Structure & Geometry,,0,formula,price,low,"{""lookback"": 2, ""lookforward"": 2}","[""5m"",""15m"",""1h"",""1d""]",flag,swing_low_5_t = 1 if low_t is strictly lower than lows in {t-2..t+2} else 0 (with lookahead in offline calc or delayed confirmation online),context,feature,"{""value"": false, ""state"": false, ""events"": true}",Basic structural pivot; used to form swings and higher-level structure states.
range_high_20,Range High (20),Market Structure & Geometry,,0,formula,price,high,"{""window"": 20}","[""5m"",""15m"",""1h"",""1d""]",scalar,range_high_20_t = max(high_{t-19}...high_t),context,feature,"{""value"": true, ""state"": false, ""events"": false}",Rolling resistance reference.
range_low_20,Range Low (20),Market Structure & Geometry,,0,formula,price,low,"{""window"": 20}","[""5m"",""15m"",""1h"",""1d""]",scalar,range_low_20_t = min(low_{t-19}...low_t),context,feature,"{""value"": true, ""state"": false, ""events"": false}",Rolling support reference.
candle_body_pct,Candle Body % of Range,Candle Grammar & Micro-Patterns,,0,formula,price,"open,high,low,close",{},"[""all""]",scalar,"full_range = max(high_t - low_t, epsilon); body_size = abs(close_t - open_t); candle_body_pct_t = body_size / full_range",feature,,"{""value"": true, ""state"": true, ""events"": false}",Basic candle feature; state bins (small/medium/large body) can be derived.
upper_wick_pct,Upper Wick % of Range,Candle Grammar & Micro-Patterns,,0,formula,price,"open,high,low,close",{},"[""all""]",scalar,"full_range = max(high_t - low_t, epsilon); upper_wick = max(high_t - max(open_t, close_t), 0); upper_wick_pct_t = upper_wick / full_range",feature,,"{""value"": true, ""state"": true, ""events"": false}",Basic candle feature; high upper wick suggests rejection from above.
lower_wick_pct,Lower Wick % of Range,Candle Grammar & Micro-Patterns,,0,formula,price,"open,high,low,close",{},"[""all""]",scalar,"full_range = max(high_t - low_t, epsilon); lower_wick = max(min(open_t, close_t) - low_t, 0); lower_wick_pct_t = lower_wick / full_range",feature,,"{""value"": true, ""state"": true, ""events"": false}",Basic candle feature; long lower wick suggests rejection from below.
close_pos_pct,Close Position in Range,Candle Grammar & Micro-Patterns,,0,formula,price,"high,low,close",{},"[""all""]",oscillator,"close_pos_pct_t = (close_t - low_t) / max(high_t - low_t, epsilon)",feature,,"{""value"": true, ""state"": true, ""events"": false}","Normalized close location [0,1]; helpful for strong/weak close detection."
pe_ttm,P/E (TTM),Valuation & Fundamentals,,0,formula,"fundamental,price","price,eps_ttm",{},"[""1d"",""1w"",""1m""]",scalar,"pe_ttm_t = price_t / max(eps_ttm_t, epsilon)",feature,context,"{""value"": true, ""state"": true, ""events"": false}",Core valuation metric; state bins (cheap/fair/expensive) can be derived.
pb,Price/Book,Valuation & Fundamentals,,0,formula,"fundamental,price","price,book_value_per_share",{},"[""1d"",""1w"",""1m""]",scalar,"pb_t = price_t / max(book_value_per_share_t, epsilon)",feature,context,"{""value"": true, ""state"": true, ""events"": false}",Balance-sheet focused valuation; subject to accounting caveats.
div_yield,Dividend Yield,Valuation & Fundamentals,,0,formula,"fundamental,price","price,dividends_per_share_annualized",{},"[""1d"",""1w"",""1m""]",scalar,"div_yield_t = dividends_per_share_annualized_t / max(price_t, epsilon)",feature,context,"{""value"": true, ""state"": true, ""events"": false}",Income-focused metric; may be used in factor models.
earnings_flag,Earnings Event Flag,Event & Regime,,0,formula,events,"earnings_date, current_date","{""window_pre"": 2, ""window_post"": 2}","[""1d""]",flag,"earnings_flag_t = 1 if current_date in [earnings_date - window_pre, earnings_date + window_post] else 0",context,filter,"{""value"": false, ""state"": false, ""events"": true}",Marks the neighborhood around earnings announcements; used for event studies and volatility filters.
dividend_flag,Dividend Event Flag,Event & Regime,,0,formula,events,"dividend_ex_date, current_date","{""window_pre"": 1, ""window_post"": 1}","[""1d""]",flag,"dividend_flag_t = 1 if current_date in [dividend_ex_date - window_pre, dividend_ex_date + window_post] else 0",context,,"{""value"": false, ""state"": false, ""events"": true}",Flags dates around dividend ex-date/payment; relevant for gap behavior.
split_flag,Split Event Flag,Event & Regime,,0,formula,events,"split_date, current_date","{""window_pre"": 1, ""window_post"": 5}","[""1d""]",flag,"split_flag_t = 1 if current_date in [split_date - window_pre, split_date + window_post] else 0",context,,"{""value"": false, ""state"": false, ""events"": true}",Flags dates around stock splits/reverse splits; structural price changes and liquidity shifts.
dd_intraday,Intraday Drawdown,Risk & Exposure,,0,formula,"price,portfolio","price,intraday_peak_price",{},"[""intraday""]",scalar,"dd_intraday_t = (price_t - intraday_peak_price_t) / max(intraday_peak_price_t, epsilon)",risk,context,"{""value"": true, ""state"": true, ""events"": true}",Real-time drawdown vs intraday peak; states and breach events will be derived.
dd_trailing_20,Trailing Drawdown (20),Risk & Exposure,,0,formula,price,price,"{""window"": 20}","[""1h"",""1d""]",scalar,"peak_20 = max(price_{t-19}...price_t); dd_trailing_20_t = (price_t - peak_20) / max(peak_20, epsilon)",risk,context,"{""value"": true, ""state"": true, ""events"": true}",Short-horizon drawdown measure used in risk control logic.
beta_market_60,Market Beta (60),Risk & Exposure,,1,formula,"price,benchmark","asset_returns,benchmark_returns","{""window"": 60}","[""1d""]",scalar,"Compute asset and benchmark returns; beta_market_60_t = cov(asset_returns, benchmark_returns) / max(var(benchmark_returns), epsilon) over 60 bars.",risk,context,"{""value"": true, ""state"": true, ""events"": false}",Rolling systematic risk measure vs benchmark index.
gross_exposure,Gross Exposure,Risk & Exposure,,0,formula,portfolio,positions_notional,{},"[""intraday"",""1d""]",scalar,gross_exposure_t = sum_i |notional_i_t|,risk,context,"{""value"": true, ""state"": true, ""events"": true}",Total absolute exposure across positions; used for leverage and risk budgets.
net_exposure,Net Exposure,Risk & Exposure,,0,formula,portfolio,positions_notional,{},"[""intraday"",""1d""]",scalar,net_exposure_t = sum_i notional_i_t,risk,context,"{""value"": true, ""state"": true, ""events"": true}",Directional exposure; used for hedging and regime alignment checks.
